XXX time_point 3010, cid 17 -> FULL
XXX time_point 3030, cid 17 -> FULL
XXX time_point 3035, cid 17 -> FULL
XXX time_point 3040, cid 17 -> FULL
XXX time_point 3045, cid 17 -> FULL
XXX time_point 3075, cid 17 -> FULL
XXX time_point 3080, cid 17 -> FULL
XXX time_point 3085, cid 17 -> FULL
XXX time_point 3095, cid 17 -> FULL
XXX time_point 3100, cid 17 -> FULL
XXX time_point 3105, cid 17 -> FULL
XXX time_point 3110, cid 17 -> FULL
XXX time_point 3130, cid 17 -> FULL
XXX time_point 3135, cid 17 -> FULL
XXX time_point 3140, cid 17 -> FULL
XXX time_point 3145, cid 17 -> FULL
XXX time_point 3146, cid 17 -> FULL
XXX time_point 3156, cid 17 -> FULL
XXX time_point 3161, cid 17 -> FULL
XXX time_point 3166, cid 17 -> FULL
XXX time_point 3171, cid 17 -> FULL
XXX time_point 3176, cid 17 -> FULL
XXX time_point 3181, cid 17 -> FULL
XXX time_point 3191, cid 17 -> FULL
XXX time_point 3192, cid 17 -> FULL
XXX time_point 3197, cid 17 -> FULL
XXX time_point 3202, cid 17 -> FULL
XXX time_point 3207, cid 17 -> FULL
XXX time_point 3213, cid 17 -> FULL
XXX time_point 3220, cid 17 -> FULL
XXX time_point 3221, cid 17 -> FULL
XXX time_point 3226, cid 17 -> FULL
XXX time_point 3236, cid 17 -> FULL
XXX time_point 3241, cid 17 -> FULL
XXX time_point 3246, cid 17 -> FULL
XXX time_point 3251, cid 17 -> FULL
XXX time_point 3261, cid 17 -> FULL
XXX time_point 3262, cid 17 -> FULL
XXX time_point 3267, cid 17 -> FULL
XXX time_point 3272, cid 17 -> FULL
XXX time_point 3277, cid 17 -> FULL
XXX time_point 3278, cid 17 -> FULL
XXX time_point 3279, cid 17 -> FULL
XXX time_point 3284, cid 17 -> FULL
XXX time_point 3289, cid 17 -> FULL
XXX time_point 3309, cid 17 -> FULL
XXX time_point 3314, cid 17 -> FULL
XXX time_point 3334, cid 17 -> FULL
XXX time_point 3335, cid 17 -> FULL
XXX time_point 3336, cid 17 -> FULL
XXX time_point 3341, cid 17 -> FULL
XXX time_point 3342, cid 17 -> FULL
XXX time_point 3347, cid 17 -> FULL
XXX time_point 3377, cid 17 -> FULL
XXX time_point 3382, cid 17 -> FULL
XXX time_point 3387, cid 17 -> FULL
XXX time_point 3388, cid 17 -> FULL
XXX time_point 3393, cid 17 -> FULL
XXX time_point 3394, cid 17 -> FULL
XXX time_point 3399, cid 17 -> FULL
XXX time_point 3404, cid 17 -> FULL
XXX time_point 3414, cid 17 -> FULL
XXX time_point 3415, cid 17 -> FULL
XXX time_point 3416, cid 17 -> FULL
XXX time_point 3421, cid 17 -> FULL
XXX time_point 3426, cid 17 -> FULL
XXX time_point 3427, cid 17 -> FULL
XXX time_point 3432, cid 17 -> FULL
XXX time_point 3437, cid 17 -> FULL
XXX time_point 3442, cid 17 -> FULL
XXX time_point 3452, cid 17 -> FULL
XXX time_point 3457, cid 17 -> FULL
XXX time_point 3462, cid 17 -> FULL
XXX time_point 3463, cid 17 -> FULL
XXX time_point 3464, cid 17 -> FULL
XXX time_point 3470, cid 17 -> FULL
XXX time_point 3475, cid 17 -> FULL
XXX time_point 3480, cid 17 -> FULL
XXX time_point 3485, cid 17 -> FULL
XXX time_point 3490, cid 17 -> FULL
XXX time_point 3495, cid 17 -> FULL
XXX time_point 3525, cid 17 -> FULL
XXX time_point 3530, cid 17 -> FULL
XXX time_point 3535, cid 17 -> FULL
XXX time_point 3540, cid 17 -> FULL
XXX time_point 3545, cid 17 -> FULL
XXX time_point 3550, cid 17 -> FULL
XXX time_point 3555, cid 17 -> FULL
XXX time_point 3560, cid 17 -> FULL
XXX time_point 3570, cid 17 -> FULL
XXX time_point 3571, cid 17 -> FULL
XXX time_point 3572, cid 17 -> FULL
XXX time_point 3577, cid 17 -> FULL
XXX time_point 3582, cid 17 -> FULL
XXX time_point 3587, cid 17 -> FULL
XXX time_point 3617, cid 17 -> FULL
XXX time_point 3622, cid 17 -> FULL
XXX time_point 3627, cid 17 -> FULL
XXX time_point 3632, cid 17 -> FULL
XXX time_point 3637, cid 17 -> FULL
XXX time_point 3642, cid 17 -> FULL
XXX time_point 3647, cid 17 -> FULL
XXX time_point 3652, cid 17 -> FULL
XXX time_point 3657, cid 17 -> FULL
XXX time_point 3662, cid 17 -> FULL
XXX time_point 3692, cid 17 -> FULL
XXX time_point 3702, cid 17 -> FULL
XXX time_point 3707, cid 17 -> FULL
XXX time_point 3712, cid 17 -> FULL
XXX time_point 3717, cid 17 -> FULL
XXX time_point 3722, cid 17 -> FULL
XXX time_point 3723, cid 17 -> FULL
XXX time_point 3728, cid 17 -> FULL
XXX time_point 3733, cid 17 -> FULL
XXX time_point 3738, cid 17 -> FULL
XXX time_point 3743, cid 17 -> FULL
XXX time_point 3748, cid 17 -> FULL
XXX time_point 3753, cid 17 -> FULL
XXX time_point 3783, cid 17 -> FULL
XXX time_point 3794, cid 17 -> FULL
XXX time_point 3799, cid 17 -> FULL
XXX time_point 3804, cid 17 -> FULL
XXX time_point 3809, cid 17 -> FULL
XXX time_point 3814, cid 17 -> FULL
XXX time_point 3819, cid 17 -> FULL
XXX time_point 3824, cid 17 -> FULL
XXX time_point 3829, cid 17 -> FULL
XXX time_point 3834, cid 17 -> FULL
XXX time_point 3839, cid 17 -> FULL
XXX time_point 3844, cid 17 -> FULL
XXX time_point 3849, cid 17 -> FULL
XXX time_point 3854, cid 17 -> FULL
XXX time_point 3859, cid 17 -> FULL
XXX time_point 3860, cid 17 -> FULL
XXX time_point 3880, cid 17 -> FULL
XXX time_point 3900, cid 17 -> FULL
XXX time_point 3905, cid 17 -> FULL
XXX time_point 3906, cid 17 -> FULL
XXX time_point 3911, cid 17 -> FULL
XXX time_point 3912, cid 17 -> FULL
XXX time_point 3913, cid 17 -> FULL
